# Stock data for AAPL.US from 2025-08-05 to 2026-08-05
# Total records: 251
# Data retrieved on: 2026-08-05 14:21:50

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-13,293.5,300.92,293.5,298.87,52684300,0.0,0.0
2026-05-14,299.82,300.45,295.38,298.21,35324900,0.0,0.0
2026-05-15,297.9,303.2,296.52,300.23,54862800,0.0,0.0
2026-05-18,300.24,300.66,294.91,297.84,34483000,0.0,0.0
2026-05-19,296.97,300.51,296.35,298.97,42243600,0.0,0.0
2026-05-20,298.18,302.8,298.08,302.25,38229800,0.0,0.0
2026-05-21,301.06,305.54,300.4,304.99,42965100,0.0,0.0
2026-05-22,306.12,311.4,305.84,308.82,43670200,0.0,0.0
2026-05-26,309.56,311.82,307.67,308.33,48000500,0.0,0.0
2026-05-27,308.33,313.26,308.3,310.85,50430900,0.0,0.0
2026-05-28,310.68,312.8,309.57,312.51,48220400,0.0,0.0
2026-05-29,311.78,315.0,309.53,312.06,70026800,0.0,0.0
2026-06-01,309.63,310.94,305.02,306.31,48849900,0.0,0.0
2026-06-02,307.46,315.45,306.69,315.2,44534700,0.0,0.0
2026-06-03,314.18,316.94,308.85,310.26,50836700,0.0,0.0
2026-06-04,313.23,313.54,309.65,311.23,44869100,0.0,0.0
2026-06-05,312.86,315.17,307.15,307.34,65310500,0.0,0.0
2026-06-08,308.74,317.4,301.17,301.54,77949100,0.0,0.0
2026-06-09,300.28,300.75,287.78,290.55,70108800,0.0,0.0
2026-06-10,290.74,294.75,287.38,291.58,52793300,0.0,0.0
2026-06-11,293.72,297.0,289.59,295.63,42572500,0.0,0.0
2026-06-12,296.03,297.14,289.62,291.13,38742100,0.0,0.0
2026-06-15,294.12,297.78,291.7,296.42,45732600,0.0,0.0
2026-06-16,295.25,300.48,293.97,299.24,39874400,0.0,0.0
2026-06-17,300.85,302.07,294.36,295.95,42745100,0.0,0.0
2026-06-18,298.11,300.57,295.62,298.01,85962200,0.0,0.0
2026-06-22,297.31,302.42,296.76,297.01,44879900,0.0,0.0
2026-06-23,297.54,301.64,294.18,294.3,52010900,0.0,0.0
2026-06-24,295.36,299.7,292.94,293.08,53081900,0.0,0.0
2026-06-25,287.4,288.8,273.75,275.15,107013700,0.0,0.0
2026-06-26,275.0,285.95,274.21,283.78,261775500,0.0,0.0
2026-06-29,286.73,288.37,279.85,281.74,66427000,0.0,0.0
